Attrition;JobRole;OverTime;YearsInCurrentRole;YearsWithCurrManager;Age;YearsAtCompany;StockOptionLevel;JobInvolvement;BusinessTravel;JobSatisfaction;EnvironmentSatisfaction;DistanceFromHome;WorkLifeBalance;TrainingTimesLastYear;DailyRate;MonthlyIncome;AgeGroup;IncomeGroup;CurrentRoleYearsGroup;Attrition_bin;Attrition_Prob_ML;PC1;PC2;Cluster_K3;RiskTier;Attrition_Prob_Tree;Tree_Segment
Yes;Sales Executive;Yes;4;5;41;6;0;3;Travel_Rarely;4;Moderately satisfied;1;1;0;1102;5993;36-45;4001-6000;0-4;1;0.5212680462145441;-509.72780372672696;299.85525246748296;0;High;0.28865979381443296;16
No;Research Scientist;No;7;7;49;10;1;2;Travel_Frequently;2;Moderately satisfied;8;3;3;279;5130;46-55;4001-6000;5-8;0;0.054597490291249745;-1373.2630164293914;-522.5726873119818;0;Low;0.06491499227202473;24
Yes;Laboratory Technician;Yes;0;0;37;0;0;2;Travel_Rarely;3;Satisfied;2;3;3;1373;2090;36-45;2001-4000;0-4;1;0.5139655831870439;-4412.553996626912;573.4547666742702;0;High;0.3333333333333333;11
No;Research Scientist;Yes;7;0;33;8;0;3;Travel_Frequently;3;Satisfied;3;3;3;1392;2909;26-35;2001-4000;5-8;0;0.2827675527218688;-3593.5387501160435;591.9052044992592;0;Medium;0.28865979381443296;16
No;Laboratory Technician;No;2;2;27;2;1;3;Travel_Rarely;2;Dissatisfied;2;3;3;591;3468;26-35;2001-4000;0-4;0;0.08291157439772893;-3035.0830189674725;-209.4644970384329;0;Low;0.06491499227202473;24
No;Laboratory Technician;No;7;6;32;7;0;3;Travel_Frequently;4;Satisfied;2;2;2;1005;3068;26-35;2001-4000;5-8;0;0.03553215997948504;-3434.7964733255335;204.79871880984217;0;Low;0.06491499227202473;24
No;Laboratory Technician;Yes;0;0;59;1;3;4;Travel_Rarely;1;Moderately satisfied;3;2;3;1324;2670;56-65;2001-4000;0-4;0;0.14052957445818234;-3832.5652968216655;524.072016694552;0;Low;0.3333333333333333;11
No;Laboratory Technician;No;0;0;30;1;1;3;Travel_Rarely;3;Satisfied;24;3;2;1358;2693;26-35;2001-4000;0-4;0;0.18769884778522622;-3809.571350110607;558.0500332319847;0;Low;0.30434782608695654;6
No;Manufacturing Director;No;7;8;38;9;0;2;Travel_Frequently;3;Satisfied;23;3;2;216;9526;36-45;8001-10000;5-8;0;0.058633153980242686;3022.6792612503123;-588.4995089491523;2;Low;0.06491499227202473;24
No;Healthcare Representative;No;7;7;36;7;2;3;Travel_Rarely;3;Moderately satisfied;27;2;3;1299;5237;36-45;4001-6000;5-8;0;0.015550563210031258;-1265.5994857920805;497.35389443641964;0;Low;0.06491499227202473;24
No;Laboratory Technician;No;4;3;35;5;1;4;Travel_Rarely;2;Dissatisfied;16;3;5;809;2426;26-35;2001-4000;0-4;0;0.10891909766135474;-4076.926785068428;9.22659823275751;0;Low;0.06491499227202473;24
No;Laboratory Technician;Yes;5;8;29;9;0;2;Travel_Rarely;3;Satisfied;15;3;3;153;4193;26-35;4001-6000;5-8;0;0.15361922879195805;-2310.366475353663;-647.9529081415819;0;Low;0.28865979381443296;16
No;Research Scientist;No;2;3;31;5;1;3;Travel_Rarely;3;Dissatisfied;26;2;1;670;2911;26-35;2001-4000;0-4;0;0.05482421103350262;-3592.0244638424792;-130.09761891170103;0;Low;0.06491499227202473;24
No;Laboratory Technician;No;2;2;34;2;1;3;Travel_Rarely;4;Moderately satisfied;19;3;2;1346;2661;26-35;2001-4000;0-4;0;0.0653300850522394;-3841.573546413682;546.0715187823552;0;Low;0.06491499227202473;24
Yes;Laboratory Technician;Yes;2;3;28;4;0;2;Travel_Rarely;3;Moderately satisfied;24;3;4;103;2028;26-35;2001-4000;0-4;1;0.8181768712313292;-4475.404411927415;-696.5099124236212;0;High;0.5833333333333334;14
No;Manufacturing Director;No;9;8;29;10;1;4;Travel_Rarely;1;Moderately satisfied;21;3;1;1389;9980;26-35;8001-10000;9-12;0;0.05052425464848744;3477.451933690687;584.1963846375326;2;Low;0.06491499227202473;24
No;Research Scientist;Yes;2;5;32;6;2;4;Travel_Rarely;2;Dissatisfied;5;2;5;334;3298;26-35;2001-4000;0-4;0;0.28515630194079994;-3205.245686733662;-466.3536301200068;0;Medium;0.1111111111111111;17
No;Laboratory Technician;Yes;0;0;22;1;2;4;Non-Travel;4;Satisfied;16;2;2;1123;2935;19-25;2001-4000;0-4;0;0.5931452173028261;-3567.7354566637855;322.88905505552236;0;High;0.875;3
No;Manager;No;8;7;53;25;0;2;Travel_Rarely;4;Dissatisfied;2;3;3;1219;15427;46-55;10000+;5-8;0;0.03499933912168988;8924.366784652668;410.57043161223567;1;Low;0.06491499227202473;24
No;Research Scientist;Yes;2;2;38;3;0;3;Travel_Rarely;4;Satisfied;2;3;3;371;3944;36-45;2001-4000;0-4;0;0.0707647802610655;-2559.218562601259;-429.77977460186395;0;Low;0.28865979381443296;16
No;Manufacturing Director;No;2;3;24;4;1;4;Non-Travel;3;Dissatisfied;11;2;5;673;4011;19-25;4001-6000;0-4;0;0.08942144606499947;-2492.030492622029;-127.82822186710587;0;Low;0.06491499227202473;24
Yes;Sales Representative;No;3;3;36;5;0;2;Travel_Rarely;1;Moderately satisfied;9;3;4;1218;3407;36-45;2001-4000;0-4;1;0.41493609872708925;-3095.6546413983892;417.5743211215207;0;Medium;0.06491499227202473;24
No;Research Director;No;6;11;34;12;0;3;Travel_Rarely;2;Dissatisfied;7;3;4;419;11994;26-35;10000+;5-8;0;0.05653008753981878;5490.811048797228;-387.1428593949996;2;Low;0.06491499227202473;24
No;Research Scientist;No;0;0;21;0;0;3;Travel_Rarely;4;Moderately satisfied;15;3;6;391;1232;19-25;0-2000;0-4;0;0.28512071698119673;-5271.222441266986;-407.9776682051688;0;Medium;0.6285714285714286;5
Yes;Research Scientist;No;2;3;34;4;0;3;Travel_Rarely;1;Moderately satisfied;6;3;2;699;2960;26-35;2001-4000;0-4;1;0.08734768791354487;-3543.002402936614;-101.12754907388717;0;Low;0.06491499227202473;24
No;Manager;No;13;8;53;14;1;3;Travel_Rarely;3;Moderately satisfied;5;2;3;1282;19094;46-55;10000+;13-16;0;0.02581286380686028;12591.399258180498;471.1375560671614;1;Low;0.06491499227202473;24
Yes;Research Scientist;Yes;2;7;32;10;0;1;Travel_Frequently;1;Moderately satisfied;16;3;5;1125;3919;26-35;2001-4000;0-4;1;0.6584125809450101;-2583.7170628563804;324.2284632965644;0;High;0.28865979381443296;16
No;Sales Executive;No;7;2;42;9;1;3;Travel_Rarely;2;Moderately satisfied;8;3;2;691;6825;36-45;6001-8000;5-8;0;0.03600842616256657;322.00076690759306;-111.69948017118202;2;Low;0.06491499227202473;24
No;Healthcare Representative;No;6;17;44;22;1;2;Travel_Rarely;4;Dissatisfied;7;3;4;477;10248;36-45;10000+;5-8;0;0.07105502266812154;3744.8693158981478;-327.98710612388936;2;Low;0.06491499227202473;24
No;Manager;No;2;1;46;2;0;3;Travel_Rarely;1;Moderately satisfied;2;2;2;705;18947;46-55;10000+;0-4;0;0.04564157446258936;12443.995804062526;-105.75744503767771;1;Low;0.06491499227202473;24
No;Laboratory Technician;No;1;0;33;1;0;3;Travel_Rarely;4;Moderately satisfied;2;3;3;924;2496;26-35;2001-4000;0-4;0;0.12558782120689838;-4006.856144273395;124.18391328153984;0;Low;0.6285714285714286;5
No;Healthcare Representative;Yes;2;3;44;4;0;3;Travel_Rarely;4;Satisfied;10;4;5;1459;6465;36-45;6001-8000;0-4;0;0.05404653975809861;-37.49048953188776;656.5421493686016;2;Low;0.28865979381443296;16
No;Laboratory Technician;No;0;8;30;10;0;2;Travel_Rarely;3;Satisfied;9;3;5;125;2206;26-35;2001-4000;0-4;0;0.09084972211750963;-4297.38282270152;-674.6314116445244;0;Low;0.06491499227202473;24
Yes;Sales Representative;No;0;0;39;1;1;3;Travel_Rarely;4;Satisfied;5;4;6;895;2086;36-45;2001-4000;0-4;1;0.5977665137566267;-4416.869561358232;95.45728234751323;0;High;0.13793103448275862;9
Yes;Research Scientist;Yes;0;0;24;2;1;3;Travel_Rarely;4;Moderately satisfied;1;2;2;813;2293;19-25;2001-4000;0-4;1;0.7823061322410503;-4209.938064373524;13.317218313707485;0;High;0.5833333333333334;14
No;Research Scientist;No;3;4;43;5;2;4;Travel_Rarely;3;Satisfied;2;2;3;1273;2645;36-45;2001-4000;0-4;0;0.012177305711842477;-3857.6100783279358;473.0832398649367;0;Low;0.06491499227202473;24
Yes;Sales Representative;Yes;2;2;50;3;0;2;Travel_Rarely;3;Dissatisfied;3;3;2;869;2683;46-55;2001-4000;0-4;1;0.26996624934791696;-3819.874303921387;69.0603370350484;0;Medium;0.28865979381443296;16
No;Sales Representative;No;2;2;35;2;0;3;Travel_Rarely;4;Satisfied;2;3;3;890;2014;26-35;2001-4000;0-4;0;0.09065351639910844;-4488.874868832501;90.50385050749446;0;Low;0.06491499227202473;24
No;Research Scientist;Yes;1;0;36;1;1;2;Travel_Rarely;1;Moderately satisfied;5;4;3;852;3419;36-45;2001-4000;0-4;0;0.10798365379864429;-3083.902113495322;51.56988039636565;0;Low;0.3333333333333333;11
No;Sales Executive;No;3;3;33;5;2;4;Travel_Frequently;1;Moderately satisfied;1;3;3;1141;5376;26-35;4001-6000;0-4;0;0.0550137277653621;-1126.7104877016782;339.26530828382477;0;Low;0.06491499227202473;24
No;Laboratory Technician;No;0;0;35;1;1;3;Travel_Rarely;4;Moderately satisfied;4;3;3;464;1951;26-35;0-2000;0-4;0;0.1363766648187537;-4552.160057971646;-335.45322479815167;0;Low;0.0;10
No;Laboratory Technician;No;0;0;27;1;1;3;Travel_Rarely;1;Satisfied;2;3;6;1240;2341;26-35;2001-4000;0-4;0;0.31931604016155823;-4161.651796441973;440.28577264340345;0;Medium;0.30434782608695654;6
Yes;Laboratory Technician;No;0;1;26;1;0;1;Travel_Rarely;3;Dissatisfied;25;2;2;1357;2293;26-35;2001-4000;0-4;1;0.8166488497324095;-4209.575250277784;557.3149132114796;0;High;0.6285714285714286;5
No;Sales Executive;No;8;7;27;9;0;3;Travel_Frequently;3;Satisfied;8;3;0;994;8726;26-35;8001-10000;5-8;0;0.04688710639250574;2223.1875731527016;190.03243053011727;2;Low;0.06491499227202473;24
No;Laboratory Technician;No;8;7;30;12;0;3;Travel_Frequently;4;Moderately satisfied;1;3;2;721;4011;26-35;4001-6000;5-8;0;0.12344122829709048;-2491.984369012907;-79.83177832282058;0;Low;0.06491499227202473;24
Yes;Research Director;No;15;8;41;22;0;3;Travel_Rarely;3;Moderately satisfied;12;3;0;1360;19545;36-45;10000+;13-16;1;0.0352981139405386;13042.444820142564;548.8303148599308;1;Low;0.06491499227202473;24
No;Sales Executive;No;5;7;34;9;0;3;Non-Travel;3;Moderately satisfied;23;3;2;1065;4568;26-35;4001-6000;5-8;0;0.04301493436503594;-1934.755605399023;263.79752422461627;0;Low;0.06491499227202473;24
No;Research Scientist;No;0;0;37;1;0;3;Travel_Rarely;2;Moderately satisfied;19;3;1;408;3022;36-45;2001-4000;0-4;0;0.07886714297386105;-3481.1968978144487;-392.16702001469474;0;Low;0.0;10
No;Sales Executive;Yes;6;8;46;9;0;3;Travel_Frequently;4;Dissatisfied;5;3;4;1211;5772;46-55;4001-6000;5-8;0;0.15351235052351436;-730.6469358124205;409.0001343609232;0;Low;0.28865979381443296;16
No;Laboratory Technician;No;0;1;35;1;0;4;Travel_Rarely;4;Satisfied;8;3;2;1229;2269;26-35;2001-4000;0-4;0;0.11892275633387518;-4233.651215914596;429.33426834053546;0;Low;0.13793103448275862;9
Yes;Laboratory Technician;Yes;0;0;48;1;0;2;Travel_Rarely;3;Dissatisfied;1;3;2;626;5381;46-55;4001-6000;0-4;1;0.7208991433518803;-1122.042956066396;-175.73272059183182;0;High;0.3333333333333333;11
Yes;Laboratory Technician;Yes;2;2;28;2;0;3;Travel_Rarely;3;Moderately satisfied;5;2;3;1434;3441;26-35;2001-4000;0-4;1;0.5956592747763018;-3061.5211573771494;633.5530215160612;0;High;0.28865979381443296;16
No;Sales Executive;Yes;3;3;44;4;1;3;Travel_Rarely;1;Moderately satisfied;1;2;2;1488;5454;36-45;4001-6000;0-4;0;0.059419605715548315;-1048.4696511306038;686.2154514928249;0;Low;0.1111111111111111;17
No;Healthcare Representative;Yes;0;3;35;4;1;2;Non-Travel;1;Moderately satisfied;11;3;3;1097;9884;26-35;8001-10000;0-4;0;0.1774084635588417;3381.2559160690125;292.266365457206;2;Low;0.1111111111111111;17
No;Sales Executive;Yes;2;0;26;2;1;2;Travel_Rarely;4;Moderately satisfied;23;2;2;1443;4157;26-35;4001-6000;0-4;0;0.21192157565013447;-2345.518782774073;642.0753045647847;0;Medium;0.1111111111111111;17
No;Research Director;Yes;14;12;33;15;0;3;Travel_Frequently;4;Dissatisfied;1;3;1;515;13458;26-35;10000+;13-16;0;0.13120394386706796;6954.877195370938;-292.1175874998021;1;Low;0.28865979381443296;16
No;Sales Executive;No;8;8;35;9;1;3;Travel_Frequently;1;Moderately satisfied;18;2;3;853;9069;26-35;8001-10000;5-8;0;0.04693583201988678;2566.101080625109;48.80432997062837;2;Low;0.06491499227202473;24
No;Laboratory Technician;Yes;2;2;35;2;1;3;Travel_Rarely;1;Moderately satisfied;23;3;3;1142;4014;26-35;4001-6000;0-4;0;0.13254238667696738;-2488.7097513110853;341.17119944555895;0;Low;0.1111111111111111;17
No;Laboratory Technician;No;7;7;31;7;1;3;Travel_Rarely;4;Satisfied;7;2;3;655;5915;26-35;4001-6000;5-8;0;0.041704609461411205;-588.0330164711886;-147.09560762826482;0;Low;0.06491499227202473;24
No;Manufacturing Director;No;5;7;37;7;1;2;Travel_Rarely;3;Dissatisfied;1;4;2;1115;5993;36-45;4001-6000;5-8;0;0.032020152590806136;-509.7214902759224;312.85333820096673;0;Low;0.06491499227202473;24
No;Manufacturing Director;Yes;8;8;32;9;1;3;Travel_Rarely;4;Dissatisfied;1;3;3;427;6162;26-35;6001-8000;5-8;0;0.06421572589612463;-341.18190481973306;-375.26049259828585;2;Low;0.1111111111111111;17
No;Laboratory Technician;No;3;9;38;10;0;3;Travel_Frequently;4;Satisfied;29;3;2;653;2406;36-45;2001-4000;0-4;0;0.06271516880123018;-4097.023379358836;-146.76535037237534;0;Low;0.06491499227202473;24
No;Research Director;Yes;3;8;50;27;1;2;Travel_Rarely;3;Moderately satisfied;7;2;2;989;18740;46-55;10000+;0-4;0;0.03494995126553917;12237.20754023233;178.36426571364404;1;Low;0.1111111111111111;17
No;Sales Executive;No;16;9;59;21;0;3;Travel_Rarely;1;Dissatisfied;25;2;3;1435;7637;56-65;6001-8000;13-16;0;0.09771323184510207;1134.523330030419;631.7527885582623;2;Low;0.06491499227202473;24
No;Healthcare Representative;No;14;8;36;17;3;3;Travel_Rarely;3;Moderately satisfied;8;3;2;1223;10096;36-45;10000+;13-16;0;0.027360529092926078;3593.354675505043;418.11820333425374;2;Low;0.06491499227202473;24
No;Manager;Yes;0;2;55;5;3;3;Travel_Rarely;3;Satisfied;8;3;2;836;14756;46-55;10000+;0-4;0;0.07345877842108918;8253.097375978192;28.029265347814203;1;Low;0.1111111111111111;17
No;Manufacturing Director;No;5;3;36;6;0;2;Travel_Frequently;2;Moderately satisfied;11;3;3;1195;6499;36-45;6001-8000;5-8;0;0.06544014418602516;-3.6717296869883285;392.51708610904495;2;Low;0.06491499227202473;24
No;Research Scientist;No;0;0;45;1;1;3;Travel_Rarely;1;Moderately satisfied;7;3;2;1339;9724;36-45;8001-10000;0-4;0;0.02761895904782253;3221.424111865659;534.3771226537866;2;Low;0.0;10
No;Research Scientist;No;2;2;35;3;1;3;Travel_Frequently;1;Moderately satisfied;1;2;2;664;2194;26-35;2001-4000;0-4;0;0.06940131246247443;-4309.024759771811;-135.61640430971397;0;Low;0.06491499227202473;24
Yes;Research Scientist;Yes;0;0;36;1;1;2;Travel_Rarely;3;Satisfied;9;2;0;318;3388;36-45;2001-4000;0-4;1;0.2841579329267535;-3115.2578175223757;-482.40940706605767;0;Medium;0.3333333333333333;11
No;Sales Executive;No;3;3;59;4;0;2;Travel_Frequently;3;Dissatisfied;1;2;2;1225;5473;56-65;4001-6000;0-4;0;0.1214831296081113;-1029.6302005506714;423.2052125641816;0;Low;0.06491499227202473;24
No;Research Scientist;No;4;4;29;5;1;3;Travel_Rarely;2;Moderately satisfied;2;3;3;1328;2703;26-35;2001-4000;0-4;0;0.025153506436046167;-3799.586814867565;528.042204689686;0;Low;0.06491499227202473;24
No;Research Scientist;No;1;0;31;1;0;3;Travel_Rarely;2;Moderately satisfied;1;3;4;1082;2501;26-35;2001-4000;0-4;0;0.1052489191792407;-4001.7529182348167;282.18015037939415;0;Low;0.6285714285714286;5
No;Research Scientist;No;4;9;32;10;2;3;Travel_Rarely;2;Moderately satisfied;1;3;3;548;6220;26-35;6001-8000;0-4;0;0.0381422036881531;-283.10171474022536;-254.3003292603429;2;Low;0.06491499227202473;24
No;Laboratory Technician;No;0;0;36;1;0;4;Travel_Rarely;4;Moderately satisfied;6;3;3;132;3038;36-45;2001-4000;0-4;0;0.049619251841044855;-3465.3811748826724;-668.1761609982541;0;Low;0.0;10
No;Manufacturing Director;No;7;8;31;11;0;3;Travel_Rarely;4;Moderately satisfied;8;3;2;746;4424;26-35;4001-6000;5-8;0;0.03751287020878134;-2078.9680349553355;-55.1067582421698;0;Low;0.06491499227202473;24
No;Sales Executive;No;13;8;35;15;0;2;Travel_Rarely;1;Moderately satisfied;1;3;2;776;4312;26-35;4001-6000;13-16;0;0.0794175071080307;-2190.9395348701055;-25.03322947559718;0;Low;0.06491499227202473;24
No;Research Director;Yes;0;0;45;0;0;3;Travel_Rarely;1;Satisfied;6;4;3;193;13245;36-45;10000+;0-4;0;0.0830915086638831;6741.657496020294;-613.9638383620453;1;Low;0.3333333333333333;11
No;Research Director;No;2;2;37;5;0;3;Travel_Rarely;3;Dissatisfied;7;4;3;397;13664;36-45;10000+;0-4;0;0.0679456188941591;7160.789496761401;-410.24711659990675;1;Low;0.06491499227202473;24
No;Human Resources;Yes;2;2;46;4;1;3;Travel_Rarely;2;Moderately satisfied;5;3;2;945;5021;46-55;4001-6000;0-4;0;0.06861754987881895;-1481.8292641034996;143.50385426814876;0;Low;0.1111111111111111;17
No;Laboratory Technician;Yes;8;0;30;10;2;2;Travel_Rarely;4;Satisfied;1;2;1;852;5126;26-35;4001-6000;5-8;0;0.06674818439138966;-1376.9014522613534;50.4296818146405;0;Low;0.1111111111111111;17
No;Research Scientist;No;4;4;35;6;0;2;Travel_Rarely;3;Moderately satisfied;1;3;3;1214;2859;26-35;2001-4000;0-4;0;0.03274401458607752;-3643.6563356766073;413.9388484845166;0;Low;0.06491499227202473;24
No;Sales Executive;No;0;0;55;1;1;3;Travel_Rarely;4;Dissatisfied;1;3;4;111;10239;46-55;10000+;0-4;0;0.10648016899509419;3735.6163813437925;-693.9624988566103;2;Low;0.13793103448275862;9
No;Research Scientist;Yes;11;9;38;13;3;1;Non-Travel;4;Moderately satisfied;6;3;3;573;5329;36-45;4001-6000;9-12;0;0.039837852299334585;-1174.0745147588605;-228.7084180254318;0;Low;0.1111111111111111;17
No;Manufacturing Director;No;2;3;34;5;0;3;Travel_Rarely;2;Dissatisfied;1;3;2;1153;4325;26-35;4001-6000;0-4;0;0.0827759468266274;-2177.7007577121194;351.96429882840573;0;Low;0.06491499227202473;24
No;Manufacturing Director;No;4;2;56;6;0;1;Travel_Rarely;4;Satisfied;7;2;3;1400;7260;56-65;6001-8000;0-4;0;0.08208473308073282;757.4827784721328;597.014652846199;2;Low;0.21212121212121213;23
No;Sales Representative;No;0;0;23;0;1;3;Travel_Rarely;1;Moderately satisfied;2;3;3;541;2322;19-25;2001-4000;0-4;0;0.22939330623231854;-4181.121405086014;-258.7013691506713;0;Medium;0.30434782608695654;6
No;Laboratory Technician;No;2;3;51;4;2;3;Travel_Rarely;4;Satisfied;9;3;4;432;2075;46-55;2001-4000;0-4;0;0.0413332305789236;-4428.162809997031;-367.53595552925384;0;Low;0.06491499227202473;24
No;Healthcare Representative;No;10;8;30;11;3;2;Travel_Rarely;4;Moderately satisfied;2;3;3;288;4152;26-35;4001-6000;9-12;0;0.0354006932735915;-2351.2724902284335;-512.9248003190778;0;Low;0.06491499227202473;24
Yes;Sales Executive;No;8;7;46;9;0;2;Travel_Rarely;4;Moderately satisfied;9;3;3;669;9619;46-55;8001-10000;5-8;1;0.37223584688197714;3115.988790324127;-135.55855280261972;2;Medium;0.06491499227202473;24
No;Healthcare Representative;No;3;11;40;22;1;2;Travel_Frequently;2;Moderately satisfied;1;2;3;530;13503;36-45;10000+;0-4;0;0.022292955437221575;6999.895204415578;-277.1510368452723;1;Low;0.06491499227202473;24
No;Sales Executive;Yes;7;0;51;10;0;3;Travel_Rarely;4;Moderately satisfied;21;1;2;632;5441;46-55;4001-6000;5-8;0;0.17550052855847045;-1062.0286678345628;-169.7785566784171;0;Low;0.28865979381443296;16
No;Sales Executive;Yes;8;7;30;11;3;2;Travel_Rarely;2;Moderately satisfied;4;2;4;1334;5209;26-35;4001-6000;5-8;0;0.04593394299213032;-1293.578371275974;532.3715079218854;0;Low;0.1111111111111111;17
No;Healthcare Representative;Yes;9;5;46;10;1;2;Travel_Frequently;1;Moderately satisfied;1;2;5;638;10673;46-55;10000+;9-12;0;0.0612080741696831;4169.967821381359;-167.2589378276358;2;Low;0.1111111111111111;17
No;Sales Executive;No;8;7;32;11;0;3;Travel_Rarely;3;Moderately satisfied;6;3;0;1093;5010;26-35;4001-6000;5-8;0;0.03678307308469837;-1492.736651024149;291.50387451643235;0;Low;0.06491499227202473;24
No;Research Director;No;3;3;54;4;1;3;Travel_Rarely;3;Dissatisfied;2;1;5;1217;13549;46-55;10000+;0-4;0;0.014981320842227601;7046.3517107848365;409.8328218165351;1;Low;0.08333333333333333;21
No;Sales Executive;No;2;2;24;3;1;3;Travel_Rarely;3;Dissatisfied;3;2;2;1353;4999;19-25;4001-6000;0-4;0;0.060317382457114564;-1503.5796442917908;551.5157984629647;0;Low;0.06491499227202473;24
No;Sales Executive;No;4;4;28;5;0;3;Non-Travel;3;Moderately satisfied;4;4;3;120;4221;26-35;4001-6000;0-4;0;0.06972355408981629;-2282.393129661539;-680.9673647644494;0;Low;0.06491499227202473;24
No;Sales Executive;No;10;8;58;37;0;3;Travel_Rarely;3;Satisfied;10;2;1;682;13872;56-65;10000+;9-12;0;0.11605287426027514;7369.024381295016;-125.40203148758201;1;Low;0.06491499227202473;24
No;Laboratory Technician;No;2;2;44;3;1;3;Non-Travel;2;Moderately satisfied;23;4;3;489;2042;36-45;2001-4000;0-4;0;0.05268516584517042;-4461.132966143265;-310.51601573676237;0;Low;0.06491499227202473;24
Yes;Human Resources;Yes;2;2;37;3;0;3;Travel_Rarely;1;Moderately satisfied;6;3;3;807;2073;36-45;2001-4000;0-4;1;0.631499584369451;-4429.927626471781;7.463702661273032;0;High;0.5833333333333334;14
